cash_transaction_id,user_id,transaction_date,transaction_type,amount,transaction_status
C7000,U1001,2026-05-31,Bank Deposit,7500,Approved
C7001,U1002,2026-07-01,Bank Deposit,1000,Approved
C7002,U1002,2026-07-06,Bank Deposit,7500,Approved
C7003,U1002,2026-07-08,Bank Deposit,500,Approved
C7004,U1003,2026-07-11,Bank Deposit,2500,Approved
C7005,U1006,2026-05-05,Bank Deposit,7500,Approved
C7006,U1010,2026-05-15,Bank Deposit,1000,Approved
C7007,U1011,2026-07-04,Bank Deposit,40000,Approved
C7008,U1011,2026-06-18,Bank Deposit,40000,Approved
C7009,U1011,2026-06-22,Bank Deposit,10000,Approved
C7010,U1011,2026-06-17,Bank Deposit,5000,Approved
C7011,U1011,2026-06-23,Bank Deposit,25000,Approved
C7012,U1012,2026-07-10,Bank Deposit,2500,Approved
C7013,U1012,2026-07-09,Bank Deposit,7500,Approved
C7014,U1012,2026-07-13,Bank Deposit,1000,Approved
C7015,U1013,2026-05-06,Bank Deposit,7500,Approved
C7016,U1017,2026-06-27,Bank Deposit,1000,Approved
C7017,U1017,2026-07-05,Bank Deposit,2500,Approved
C7018,U1017,2026-07-15,Bank Deposit,7500,Approved
C7019,U1018,2026-07-09,Bank Deposit,10000,Approved
C7020,U1018,2026-07-14,Bank Deposit,40000,Approved
C7021,U1018,2026-07-08,Bank Deposit,15000,Approved
C7022,U1019,2026-05-25,Bank Deposit,25000,Approved
C7023,U1019,2026-07-04,Bank Deposit,7500,Approved
C7024,U1019,2026-07-10,Bank Deposit,25000,Approved
C7025,U1019,2026-06-24,Bank Deposit,5000,Approved
C7026,U1019,2026-07-01,Bank Deposit,25000,Canceled
C7027,U1023,2026-07-07,Bank Deposit,1000,Approved
C7028,U1023,2026-06-27,Bank Deposit,5000,Approved
C7029,U1025,2026-05-18,Bank Deposit,500,Approved
C7030,U1025,2026-05-08,Bank Deposit,2500,Approved
C7031,U1025,2026-06-02,Bank Deposit,7500,Approved
C7032,U1029,2026-06-14,Bank Deposit,40000,Approved
C7033,U1029,2026-06-11,Bank Deposit,40000,Canceled
C7034,U1029,2026-05-12,Bank Deposit,5000,Approved
C7035,U1029,2026-06-07,Bank Deposit,25000,Approved
C7036,U1032,2026-05-04,Bank Deposit,40000,Approved
C7037,U1032,2026-06-03,Bank Deposit,75000,Approved
C7038,U1032,2026-06-04,Bank Deposit,25000,Approved
C7039,U1032,2026-06-15,Bank Deposit,25000,Canceled
C7040,U1033,2026-07-09,Bank Deposit,10000,Approved
C7041,U1033,2026-06-26,Bank Deposit,7500,Approved
C7042,U1033,2026-07-11,Bank Deposit,7500,Approved
