fund_order_id,user_id,order_date,fund_id,order_type,order_status,certificate_price,certificates
FO3000,U1003,2026-06-24,FUND_EQ,Invest,Completed,113.554,30
FO3001,U1003,2026-06-04,FUND_FI_USD,Invest,Completed,101.644,100
FO3002,U1009,2026-07-08,FUND_EQ,Invest,Completed,114.726,150
FO3003,U1013,2026-06-02,FUND_EQS,Invest,Canceled,119.18,100
FO3004,U1016,2026-07-13,FUND_EQ,Invest,Completed,113.371,75
FO3005,U1022,2026-06-30,FUND_FI_USD,Invest,Completed,101.609,75
FO3006,U1027,2026-06-28,FUND_MM,Invest,Completed,108.811,20
FO3007,U1029,2026-07-05,FUND_EQ,Invest,Completed,115.501,20
FO3008,U1029,2026-05-20,FUND_FI_USD,Invest,Completed,101.142,75
FO3009,U1032,2026-06-28,FUND_MM,Invest,Completed,109.227,10
FO3010,U1032,2026-05-20,FUND_GLD,Invest,Completed,84.707,30
FO3011,U1032,2026-06-29,FUND_FI_USD,Invest,Completed,101.343,100
FO3012,U1034,2026-07-12,FUND_EQ,Invest,Completed,115.148,50
FO3013,U1037,2026-05-13,FUND_FI_USD,Invest,Active,102.551,20
FO3014,U1040,2026-05-28,FUND_MM,Invest,Active,109.6,30
FO3015,U1040,2026-05-26,FUND_EQS,Invest,Completed,119.834,30
FO3016,U1045,2026-05-27,FUND_EQ,Invest,Completed,114.275,50
FO3017,U1047,2026-07-15,FUND_EQ,Invest,Active,113.437,150
FO3018,U1051,2026-05-31,FUND_MM,Invest,Completed,108.407,20
FO3019,U1051,2026-04-29,FUND_FI_USD,Invest,Completed,101.687,10
FO3020,U1055,2026-07-15,FUND_MM,Invest,Completed,109.754,100
FO3021,U1055,2026-07-15,FUND_EQ,Invest,Completed,114.978,150
FO3022,U1055,2026-07-15,FUND_GLD,Invest,Active,85.157,10
FO3023,U1057,2026-07-13,FUND_GLD,Invest,Completed,84.815,10
FO3024,U1059,2026-06-23,FUND_EQ,Invest,Completed,113.987,75
FO3025,U1059,2026-06-30,FUND_FI_USD,Invest,Completed,102.394,75
FO3026,U1059,2026-07-08,FUND_GLD,Invest,Completed,84.92,150
FO3027,U1061,2026-05-25,FUND_GLD,Invest,Completed,86.118,50
FO3028,U1061,2026-07-01,FUND_EQ,Invest,Canceled,113.734,50
FO3029,U1066,2026-07-02,FUND_MM,Invest,Active,109.278,30
FO3030,U1066,2026-07-06,FUND_EQS,Invest,Completed,118.334,10
FO3031,U1066,2026-07-07,FUND_FI_USD,Invest,Completed,101.572,10
FO3032,U1069,2026-06-30,FUND_FI_USD,Invest,Canceled,100.813,50
FO3033,U1069,2026-06-17,FUND_MM,Invest,Completed,108.618,20
FO3034,U1076,2026-07-15,FUND_EQ,Invest,Completed,114.037,150
FO3035,U1076,2026-07-14,FUND_GLD,Invest,Completed,86.189,75
FO3036,U1079,2026-07-14,FUND_MM,Invest,Completed,108.4,100
FO3037,U1079,2026-06-24,FUND_EQ,Invest,Completed,114.097,10
FO3038,U1081,2026-07-05,FUND_MM,Invest,Completed,109.827,10
FO3039,U1085,2026-07-07,FUND_EQ,Invest,Completed,114.95,50
FO3040,U1085,2026-06-15,FUND_FI_USD,Invest,Completed,101.267,50
FO3041,U1093,2026-06-10,FUND_MM,Invest,Completed,109.615,75
FO3042,U1093,2026-06-01,FUND_EQ,Invest,Completed,115.211,100
FO3043,U1096,2026-06-08,FUND_EQS,Invest,Completed,119.652,20
FO3044,U1096,2026-05-18,FUND_GLD,Invest,Completed,85.677,20
FO3045,U1097,2026-06-17,FUND_EQS,Invest,Canceled,120.22,500
FO3046,U1097,2026-06-25,FUND_EQ,Invest,Active,114.381,50
FO3047,U1097,2026-07-08,FUND_FI_USD,Invest,Active,100.78,300
FO3048,U1097,2026-06-14,FUND_MM,Invest,Completed,109.499,10
FO3049,U1099,2026-07-08,FUND_EQ,Invest,Completed,114.29,30
FO3050,U1102,2026-06-21,FUND_FI_USD,Invest,Completed,102.32,20
FO3051,U1102,2026-07-05,FUND_MM,Invest,Completed,109.627,75
FO3052,U1102,2026-06-22,FUND_EQ,Invest,Completed,114.912,20
FO3053,U1106,2026-07-01,FUND_MM,Invest,Completed,108.6,100
FO3054,U1113,2026-06-16,FUND_EQS,Invest,Completed,118.984,150
FO3055,U1113,2026-06-02,FUND_FI_USD,Invest,Completed,102.296,30
FO3056,U1113,2026-06-29,FUND_MM,Invest,Completed,109.435,50
FO3057,U1115,2026-06-18,FUND_GLD,Invest,Completed,85.416,10
FO3058,U1115,2026-05-17,FUND_MM,Invest,Completed,110.205,30
FO3059,U1121,2026-05-24,FUND_FI_USD,Invest,Completed,101.84,10
FO3060,U1121,2026-05-24,FUND_EQS,Invest,Completed,119.801,150
FO3061,U1127,2026-07-14,FUND_EQ,Invest,Completed,114.597,100
FO3062,U1133,2026-07-15,FUND_EQ,Invest,Active,114.818,150
FO3063,U1133,2026-07-13,FUND_MM,Invest,Completed,108.579,150
FO3064,U1134,2026-06-17,FUND_FI_USD,Invest,Completed,102.235,150
FO3065,U1134,2026-07-14,FUND_MM,Invest,Completed,110.058,20
FO3066,U1135,2026-07-12,FUND_MM,Invest,Active,108.924,30
FO3067,U1136,2026-07-06,FUND_MM,Invest,Completed,108.441,20
FO3068,U1138,2026-06-23,FUND_MM,Invest,Completed,109.471,50
