date,market_name,market_status
2026-04-01,EGX Market,Open
2026-04-02,EGX Market,Open
2026-04-03,EGX Market,Closed
2026-04-04,EGX Market,Closed
2026-04-05,EGX Market,Open
2026-04-06,EGX Market,Open
2026-04-07,EGX Market,Open
2026-04-08,EGX Market,Open
2026-04-09,EGX Market,Open
2026-04-10,EGX Market,Closed
2026-04-11,EGX Market,Closed
2026-04-12,EGX Market,Open
2026-04-13,EGX Market,Open
2026-04-14,EGX Market,Open
2026-04-15,EGX Market,Open
2026-04-16,EGX Market,Open
2026-04-17,EGX Market,Closed
2026-04-18,EGX Market,Closed
2026-04-19,EGX Market,Open
2026-04-20,EGX Market,Open
2026-04-21,EGX Market,Open
2026-04-22,EGX Market,Open
2026-04-23,EGX Market,Open
2026-04-24,EGX Market,Closed
2026-04-25,EGX Market,Closed
2026-04-26,EGX Market,Open
2026-04-27,EGX Market,Open
2026-04-28,EGX Market,Open
2026-04-29,EGX Market,Open
2026-04-30,EGX Market,Open
2026-05-01,EGX Market,Closed
2026-05-02,EGX Market,Closed
2026-05-03,EGX Market,Open
2026-05-04,EGX Market,Open
2026-05-05,EGX Market,Open
2026-05-06,EGX Market,Open
2026-05-07,EGX Market,Open
2026-05-08,EGX Market,Closed
2026-05-09,EGX Market,Closed
2026-05-10,EGX Market,Open
2026-05-11,EGX Market,Open
2026-05-12,EGX Market,Open
2026-05-13,EGX Market,Open
2026-05-14,EGX Market,Open
2026-05-15,EGX Market,Closed
2026-05-16,EGX Market,Closed
2026-05-17,EGX Market,Open
2026-05-18,EGX Market,Open
2026-05-19,EGX Market,Open
2026-05-20,EGX Market,Open
2026-05-21,EGX Market,Open
2026-05-22,EGX Market,Closed
2026-05-23,EGX Market,Closed
2026-05-24,EGX Market,Open
2026-05-25,EGX Market,Open
2026-05-26,EGX Market,Open
2026-05-27,EGX Market,Open
2026-05-28,EGX Market,Open
2026-05-29,EGX Market,Closed
2026-05-30,EGX Market,Closed
2026-05-31,EGX Market,Open
2026-06-01,EGX Market,Open
2026-06-02,EGX Market,Open
2026-06-03,EGX Market,Open
2026-06-04,EGX Market,Open
2026-06-05,EGX Market,Closed
2026-06-06,EGX Market,Closed
2026-06-07,EGX Market,Open
2026-06-08,EGX Market,Open
2026-06-09,EGX Market,Open
2026-06-10,EGX Market,Open
2026-06-11,EGX Market,Open
2026-06-12,EGX Market,Closed
2026-06-13,EGX Market,Closed
2026-06-14,EGX Market,Open
2026-06-15,EGX Market,Open
2026-06-16,EGX Market,Open
2026-06-17,EGX Market,Open
2026-06-18,EGX Market,Open
2026-06-19,EGX Market,Closed
2026-06-20,EGX Market,Closed
2026-06-21,EGX Market,Open
2026-06-22,EGX Market,Open
2026-06-23,EGX Market,Open
2026-06-24,EGX Market,Open
2026-06-25,EGX Market,Open
2026-06-26,EGX Market,Closed
2026-06-27,EGX Market,Closed
2026-06-28,EGX Market,Open
2026-06-29,EGX Market,Open
2026-06-30,EGX Market,Open
2026-07-01,EGX Market,Open
2026-07-02,EGX Market,Open
2026-07-03,EGX Market,Closed
2026-07-04,EGX Market,Closed
2026-07-05,EGX Market,Open
2026-07-06,EGX Market,Open
2026-07-07,EGX Market,Open
2026-07-08,EGX Market,Open
2026-07-09,EGX Market,Open
2026-07-10,EGX Market,Closed
2026-07-11,EGX Market,Closed
2026-07-12,EGX Market,Open
2026-07-13,EGX Market,Open
2026-07-14,EGX Market,Open
2026-07-15,EGX Market,Open
