date,index_name,index_value
2026-04-01,EGX30,52769.986
2026-04-02,EGX30,52420.526
2026-04-05,EGX30,53010.198
2026-04-06,EGX30,53226.683
2026-04-07,EGX30,53014.28
2026-04-08,EGX30,52762.393
2026-04-09,EGX30,53187.193
2026-04-12,EGX30,53590.211
2026-04-13,EGX30,53710.307
2026-04-14,EGX30,54277.258
2026-04-15,EGX30,53918.483
2026-04-16,EGX30,54343.4
2026-04-19,EGX30,53912.339
2026-04-20,EGX30,53475.02
2026-04-21,EGX30,53559.341
2026-04-22,EGX30,53211.932
2026-04-23,EGX30,52778.176
2026-04-26,EGX30,52360.535
2026-04-27,EGX30,52923.659
2026-04-28,EGX30,53018.455
2026-04-29,EGX30,53073.336
2026-04-30,EGX30,53650.247
2026-05-03,EGX30,53564.654
2026-05-04,EGX30,53818.173
2026-05-05,EGX30,54453.024
2026-05-06,EGX30,55038.667
2026-05-07,EGX30,55112.917
2026-05-10,EGX30,54710.276
2026-05-11,EGX30,54397.179
2026-05-12,EGX30,54691.209
2026-05-13,EGX30,54439.978
2026-05-14,EGX30,54776.094
2026-05-17,EGX30,55332.038
2026-05-18,EGX30,55513.235
2026-05-19,EGX30,55143.768
2026-05-20,EGX30,55382.466
2026-05-21,EGX30,55936.052
2026-05-24,EGX30,55577.926
2026-05-25,EGX30,55189.314
2026-05-26,EGX30,55163.729
2026-05-27,EGX30,55304.527
2026-05-28,EGX30,55702.461
2026-05-31,EGX30,55669.394
2026-06-01,EGX30,56159.127
2026-06-02,EGX30,56301.239
2026-06-03,EGX30,56110.573
2026-06-04,EGX30,56340.868
2026-06-07,EGX30,56814.937
2026-06-08,EGX30,56630.753
2026-06-09,EGX30,57303.807
2026-06-10,EGX30,57843.874
2026-06-11,EGX30,57988.77
2026-06-14,EGX30,57516.426
2026-06-15,EGX30,57607.089
2026-06-16,EGX30,58022.12
2026-06-17,EGX30,58071.482
2026-06-18,EGX30,58290.28
2026-06-21,EGX30,58829.488
2026-06-22,EGX30,58974.93
2026-06-23,EGX30,59339.172
2026-06-24,EGX30,59823.627
2026-06-25,EGX30,59315.147
2026-06-28,EGX30,59454.029
2026-06-29,EGX30,60015.577
2026-06-30,EGX30,60625.618
2026-07-01,EGX30,60451.991
2026-07-02,EGX30,60669.259
2026-07-05,EGX30,61166.044
2026-07-06,EGX30,61054.922
2026-07-07,EGX30,61659.342
2026-07-08,EGX30,61482.414
2026-07-09,EGX30,62161.927
2026-07-12,EGX30,62230.006
2026-07-13,EGX30,62027.602
2026-07-14,EGX30,61625.791
2026-07-15,EGX30,61516.104
2026-04-01,EGX70,16476.311
2026-04-02,EGX70,16423.846
2026-04-05,EGX70,16475.937
2026-04-06,EGX70,16397.933
2026-04-07,EGX70,16325.319
2026-04-08,EGX70,16500.726
2026-04-09,EGX70,16684.77
2026-04-12,EGX70,16748.778
2026-04-13,EGX70,16774.279
2026-04-14,EGX70,16903.942
2026-04-15,EGX70,17092.522
2026-04-16,EGX70,16948.258
2026-04-19,EGX70,16838.75
2026-04-20,EGX70,16844.977
2026-04-21,EGX70,17021.627
2026-04-22,EGX70,16979.754
2026-04-23,EGX70,16986.099
2026-04-26,EGX70,16947.951
2026-04-27,EGX70,16890.393
2026-04-28,EGX70,16844.009
2026-04-29,EGX70,16915.405
2026-04-30,EGX70,16831.84
2026-05-03,EGX70,16736.865
2026-05-04,EGX70,16790.057
2026-05-05,EGX70,16749.213
2026-05-06,EGX70,16720.146
2026-05-07,EGX70,16896.637
2026-05-10,EGX70,16829.449
2026-05-11,EGX70,16834.114
2026-05-12,EGX70,16761.804
2026-05-13,EGX70,16837.147
2026-05-14,EGX70,16947.821
2026-05-17,EGX70,16979.238
2026-05-18,EGX70,17165.422
2026-05-19,EGX70,17274.502
2026-05-20,EGX70,17213.963
2026-05-21,EGX70,17158.28
2026-05-24,EGX70,17065.335
2026-05-25,EGX70,17011.03
2026-05-26,EGX70,17138.949
2026-05-27,EGX70,17055.018
2026-05-28,EGX70,17111.827
2026-05-31,EGX70,17016.725
2026-06-01,EGX70,16957.313
2026-06-02,EGX70,17065.461
2026-06-03,EGX70,17079.81
2026-06-04,EGX70,17263.53
2026-06-07,EGX70,17308.792
2026-06-08,EGX70,17408.095
2026-06-09,EGX70,17354.978
2026-06-10,EGX70,17407.861
2026-06-11,EGX70,17357.299
2026-06-14,EGX70,17536.924
2026-06-15,EGX70,17727.95
2026-06-16,EGX70,17687.551
2026-06-17,EGX70,17710.092
2026-06-18,EGX70,17662.182
2026-06-21,EGX70,17763.638
2026-06-22,EGX70,17716.338
2026-06-23,EGX70,17748.732
2026-06-24,EGX70,17887.726
2026-06-25,EGX70,17896.217
2026-06-28,EGX70,18034.016
2026-06-29,EGX70,18069.91
2026-06-30,EGX70,18027.43
2026-07-01,EGX70,17906.628
2026-07-02,EGX70,17789.096
2026-07-05,EGX70,17906.116
2026-07-06,EGX70,18053.44
2026-07-07,EGX70,17942.886
2026-07-08,EGX70,17954.607
2026-07-09,EGX70,17925.265
2026-07-12,EGX70,17808.45
2026-07-13,EGX70,17762.753
2026-07-14,EGX70,17736.624
2026-07-15,EGX70,17878.829
