snapshot_datetime,stock_symbol,order_book_level,bid_price,bid_quantity,bid_order_count,ask_price,ask_quantity,ask_order_count
2026-07-15T14:30:00,ESAC.CA,1,0.144,2680272,7,0.156,57786,8
2026-07-15T14:30:00,ESAC.CA,2,0.138,2264827,12,0.162,421292,4
2026-07-15T14:30:00,ESAC.CA,3,0.132,2704173,4,0.168,640033,3
2026-07-15T14:30:00,ESAC.CA,4,0.126,64683,6,0.174,241108,7
2026-07-15T14:30:00,ESAC.CA,5,0.12,319280,3,0.18,922331,6
2026-07-15T14:30:00,ESAC.CA,6,0.114,2480859,17,0.186,1116045,5
2026-07-15T14:30:00,ESAC.CA,7,0.108,833531,9,0.192,505365,3
2026-07-15T14:30:00,ESAC.CA,8,0.102,1355502,8,0.198,839124,4
2026-07-15T14:30:00,ESAC.CA,9,0.096,2354469,2,0.204,807187,5
2026-07-15T14:30:00,ESAC.CA,10,0.09,2657485,5,0.21,804558,3
2026-07-15T14:30:00,ESAC.CA,11,0.084,903409,12,0.216,212788,4
2026-07-15T14:30:00,ESAC.CA,12,0.078,2863113,13,0.222,439504,1
2026-07-15T14:30:00,ARAB.CA,1,0.236,1752024,16,0.256,79867,4
2026-07-15T14:30:00,ARAB.CA,2,0.226,2050120,17,0.266,838554,5
2026-07-15T14:30:00,ARAB.CA,3,0.216,2380478,7,0.276,775934,4
2026-07-15T14:30:00,ARAB.CA,4,0.207,1843060,11,0.285,958635,1
2026-07-15T14:30:00,ARAB.CA,5,0.197,341239,18,0.295,1175878,1
2026-07-15T14:30:00,ARAB.CA,6,0.187,283952,13,0.305,935135,7
2026-07-15T14:30:00,ARAB.CA,7,0.177,2619363,14,0.315,529387,3
2026-07-15T14:30:00,ARAB.CA,8,0.167,2556018,9,0.325,1137520,7
2026-07-15T14:30:00,ARAB.CA,9,0.157,1007738,8,0.335,251448,6
2026-07-15T14:30:00,ARAB.CA,10,0.148,2296511,18,0.344,1107078,5
2026-07-15T14:30:00,ARAB.CA,11,0.138,2308871,15,0.354,301515,1
2026-07-15T14:30:00,ARAB.CA,12,0.128,2454990,12,0.364,827708,3
2026-07-15T14:30:00,AMOC.CA,1,7.728,1908935,7,8.372,843937,8
2026-07-15T14:30:00,AMOC.CA,2,7.406,2170835,9,8.694,250424,5
2026-07-15T14:30:00,AMOC.CA,3,7.084,2604030,12,9.016,118311,6
2026-07-15T14:30:00,AMOC.CA,4,6.762,2548644,6,9.338,632973,6
2026-07-15T14:30:00,AMOC.CA,5,6.44,2295796,15,9.66,252088,3
2026-07-15T14:30:00,AMOC.CA,6,6.118,2268780,15,9.982,687551,2
2026-07-15T14:30:00,AMOC.CA,7,5.796,1959590,1,10.304,155379,6
2026-07-15T14:30:00,AMOC.CA,8,5.474,2157928,18,10.626,634482,3
2026-07-15T14:30:00,AMOC.CA,9,5.152,1416446,6,10.948,142336,7
2026-07-15T14:30:00,AMOC.CA,10,4.83,2336855,10,11.27,958692,4
2026-07-15T14:30:00,AMOC.CA,11,4.508,2008238,3,11.592,245098,3
2026-07-15T14:30:00,AMOC.CA,12,4.186,2651750,5,11.914,103541,4
2026-07-15T14:30:00,PHDC.CA,1,14.256,2263391,4,15.444,366013,3
2026-07-15T14:30:00,PHDC.CA,2,13.662,1387199,2,16.038,203547,4
2026-07-15T14:30:00,PHDC.CA,3,13.068,517190,11,16.632,990595,1
2026-07-15T14:30:00,PHDC.CA,4,12.474,1743416,13,17.226,374297,7
2026-07-15T14:30:00,PHDC.CA,5,11.88,85694,9,17.82,689936,5
2026-07-15T14:30:00,PHDC.CA,6,11.286,1308078,10,18.414,1069238,8
2026-07-15T14:30:00,PHDC.CA,7,10.692,220772,18,19.008,115511,1
2026-07-15T14:30:00,PHDC.CA,8,10.098,540017,9,19.602,387646,4
2026-07-15T14:30:00,PHDC.CA,9,9.504,658452,16,20.196,83808,5
2026-07-15T14:30:00,PHDC.CA,10,8.91,1535691,2,20.79,650480,1
2026-07-15T14:30:00,PHDC.CA,11,8.316,589962,16,21.384,1156344,6
2026-07-15T14:30:00,PHDC.CA,12,7.722,1490108,12,21.978,920545,8
2026-07-15T14:30:00,FWRY.CA,1,18.528,2578898,15,20.072,215632,2
2026-07-15T14:30:00,FWRY.CA,2,17.756,2892218,3,20.844,713693,2
2026-07-15T14:30:00,FWRY.CA,3,16.984,927232,16,21.616,905451,2
2026-07-15T14:30:00,FWRY.CA,4,16.212,1658708,8,22.388,861094,5
2026-07-15T14:30:00,FWRY.CA,5,15.44,897375,2,23.16,1185013,7
2026-07-15T14:30:00,FWRY.CA,6,14.668,65207,12,23.932,184207,3
2026-07-15T14:30:00,FWRY.CA,7,13.896,298717,14,24.704,431345,2
2026-07-15T14:30:00,FWRY.CA,8,13.124,1477765,13,25.476,1155824,7
2026-07-15T14:30:00,FWRY.CA,9,12.352,647857,12,26.248,896981,3
2026-07-15T14:30:00,FWRY.CA,10,11.58,2577840,2,27.02,1066012,5
2026-07-15T14:30:00,FWRY.CA,11,10.808,2184701,15,27.792,819603,7
2026-07-15T14:30:00,FWRY.CA,12,10.036,87574,17,28.564,290936,8
