order_id,user_id,order_date,stock_symbol,order_type,order_status,price,quantity
O5000,U1001,2026-06-16,ESAC.CA,Buy,Completed,0.15,500
O5001,U1001,2026-06-14,PRMH.CA,Buy,Active,2.684,50
O5002,U1001,2026-06-08,FWRY.CA,Buy,Completed,19.543,10
O5003,U1001,2026-06-10,ESAC.CA,Buy,Completed,0.154,10
O5004,U1001,2026-05-17,ESAC.CA,Sell,Completed,0.154,20
O5005,U1009,2026-06-24,FWRY.CA,Buy,Completed,18.703,40
O5006,U1009,2026-06-23,ESAC.CA,Buy,Completed,0.152,200
O5007,U1009,2026-06-17,PRMH.CA,Buy,Active,2.722,20
O5008,U1009,2026-06-30,ARAB.CA,Buy,Canceled,0.244,10
O5009,U1011,2026-07-02,AMOC.CA,Buy,Active,8.272,20
O5010,U1019,2026-06-11,AMOC.CA,Buy,Active,8.195,50
O5011,U1019,2026-06-15,AMOC.CA,Buy,Completed,8.049,100
O5012,U1019,2026-06-22,FWRY.CA,Buy,Completed,19.825,200
O5013,U1019,2026-06-16,PHDC.CA,Buy,Completed,14.332,100
O5014,U1019,2026-06-22,FWRY.CA,Buy,Completed,19.531,200
O5015,U1019,2026-06-04,ESAC.CA,Buy,Completed,0.149,10
O5016,U1019,2026-06-14,ESAC.CA,Buy,Completed,0.147,100
O5017,U1020,2026-07-08,PHDC.CA,Buy,Canceled,15.28,200
O5018,U1020,2026-06-23,FWRY.CA,Buy,Canceled,19.097,200
O5019,U1023,2026-07-12,FWRY.CA,Buy,Completed,19.129,10
O5020,U1025,2026-06-14,ARAB.CA,Buy,Active,0.246,50
O5021,U1027,2026-06-15,PRMH.CA,Buy,Canceled,2.686,500
O5022,U1033,2026-07-13,PHDC.CA,Buy,Active,15.107,40
O5023,U1033,2026-06-25,AMOC.CA,Buy,Completed,7.82,40
O5024,U1035,2026-07-15,AMOC.CA,Buy,Completed,8.011,20
O5025,U1035,2026-07-01,ESAC.CA,Buy,Completed,0.155,40
O5026,U1035,2026-06-25,ESAC.CA,Buy,Canceled,0.151,150
O5027,U1035,2026-07-09,ARAB.CA,Buy,Canceled,0.251,60
O5028,U1035,2026-06-11,ARAB.CA,Buy,Completed,0.242,20
O5029,U1035,2026-07-12,FWRY.CA,Buy,Completed,19.606,500
O5030,U1040,2026-06-17,ESAC.CA,Buy,Active,0.151,100
O5031,U1040,2026-06-07,PHDC.CA,Buy,Completed,14.901,100
O5032,U1040,2026-05-28,AMOC.CA,Buy,Completed,7.862,20
O5033,U1041,2026-07-12,PRMH.CA,Buy,Completed,2.788,50
O5034,U1041,2026-07-15,ESAC.CA,Buy,Completed,0.15,10
O5035,U1041,2026-07-12,PRMH.CA,Buy,Completed,2.748,80
O5036,U1041,2026-07-13,PHDC.CA,Buy,Canceled,14.332,120
O5037,U1041,2026-07-09,ARAB.CA,Buy,Active,0.244,60
O5038,U1041,2026-07-13,ESAC.CA,Buy,Active,0.147,50
O5039,U1041,2026-07-14,ESAC.CA,Buy,Completed,0.146,1000
O5040,U1041,2026-07-12,ARAB.CA,Buy,Completed,0.24,50
O5041,U1043,2026-06-07,FWRY.CA,Buy,Completed,19.68,500
O5042,U1045,2026-06-03,AMOC.CA,Buy,Completed,8.171,500
O5043,U1045,2026-06-11,PHDC.CA,Buy,Canceled,15.366,20
O5044,U1045,2026-06-07,FWRY.CA,Buy,Completed,19.12,40
O5045,U1046,2026-07-01,ARAB.CA,Buy,Completed,0.251,500
O5046,U1046,2026-05-25,PRMH.CA,Buy,Canceled,2.748,500
O5047,U1046,2026-06-07,PHDC.CA,Buy,Completed,14.999,30
O5048,U1046,2026-05-18,ARAB.CA,Sell,Completed,0.248,120
O5049,U1046,2026-06-28,ESAC.CA,Buy,Active,0.151,20
O5050,U1046,2026-06-25,AMOC.CA,Buy,Completed,8.065,600
O5051,U1048,2026-07-15,ARAB.CA,Buy,Completed,0.239,600
O5052,U1048,2026-07-15,ARAB.CA,Buy,Completed,0.24,10
O5053,U1052,2026-06-28,PRMH.CA,Buy,Completed,2.831,100
O5054,U1052,2026-07-13,PHDC.CA,Buy,Completed,15.023,10
O5055,U1052,2026-06-03,ARAB.CA,Buy,Completed,0.238,20
O5056,U1053,2026-05-24,ARAB.CA,Buy,Completed,0.254,500
O5057,U1055,2026-07-15,FWRY.CA,Buy,Active,18.734,40
O5058,U1055,2026-07-12,ARAB.CA,Buy,Completed,0.25,20
O5059,U1055,2026-07-09,AMOC.CA,Buy,Completed,7.971,50
O5060,U1055,2026-07-13,PHDC.CA,Buy,Canceled,14.39,500
O5061,U1055,2026-07-09,ARAB.CA,Sell,Completed,0.24,100
O5062,U1055,2026-07-09,ESAC.CA,Buy,Completed,0.155,100
O5063,U1055,2026-07-14,PHDC.CA,Buy,Completed,14.579,40
O5064,U1059,2026-07-13,AMOC.CA,Buy,Completed,8.244,40
O5065,U1059,2026-06-16,ARAB.CA,Buy,Active,0.238,1000
O5066,U1064,2026-06-21,PHDC.CA,Buy,Active,14.534,100
O5067,U1064,2026-07-06,PHDC.CA,Buy,Completed,14.432,50
O5068,U1066,2026-07-02,AMOC.CA,Buy,Completed,8.039,20
O5069,U1066,2026-07-08,PHDC.CA,Buy,Completed,14.938,100
O5070,U1066,2026-06-24,FWRY.CA,Buy,Completed,18.836,200
O5071,U1066,2026-07-12,PRMH.CA,Buy,Completed,2.774,200
O5072,U1068,2026-07-12,ESAC.CA,Buy,Completed,0.154,20
O5073,U1068,2026-05-26,PHDC.CA,Buy,Completed,14.588,50
O5074,U1068,2026-06-04,PHDC.CA,Buy,Active,14.601,500
O5075,U1068,2026-06-28,FWRY.CA,Buy,Active,18.977,50
O5076,U1071,2026-07-15,ARAB.CA,Buy,Completed,0.25,100
O5077,U1071,2026-07-13,PHDC.CA,Buy,Active,14.588,20
O5078,U1072,2026-06-08,AMOC.CA,Buy,Completed,8.118,600
O5079,U1072,2026-07-05,PRMH.CA,Buy,Completed,2.78,10
O5080,U1072,2026-06-28,ESAC.CA,Buy,Completed,0.146,500
O5081,U1072,2026-06-18,AMOC.CA,Buy,Completed,7.98,200
O5082,U1072,2026-07-09,ESAC.CA,Buy,Completed,0.146,10
O5083,U1072,2026-05-27,AMOC.CA,Buy,Active,7.811,80
O5084,U1072,2026-06-11,ARAB.CA,Buy,Completed,0.238,100
O5085,U1072,2026-06-08,PHDC.CA,Buy,Completed,14.536,1500
O5086,U1072,2026-05-24,PHDC.CA,Buy,Canceled,15.293,20
O5087,U1072,2026-07-14,FWRY.CA,Buy,Completed,19.9,200
O5088,U1078,2026-05-14,AMOC.CA,Buy,Completed,8.229,100
O5089,U1078,2026-05-18,PHDC.CA,Buy,Completed,14.806,50
O5090,U1081,2026-05-24,PRMH.CA,Buy,Completed,2.799,10
O5091,U1081,2026-05-07,ESAC.CA,Buy,Completed,0.154,10
O5092,U1081,2026-05-07,ARAB.CA,Buy,Completed,0.251,20
O5093,U1081,2026-06-04,ARAB.CA,Buy,Active,0.239,500
O5094,U1083,2026-06-29,ESAC.CA,Buy,Completed,0.153,200
O5095,U1083,2026-06-03,AMOC.CA,Buy,Completed,8.164,20
O5096,U1083,2026-06-02,PHDC.CA,Buy,Active,14.428,200
O5097,U1083,2026-07-01,FWRY.CA,Buy,Completed,19.558,20
O5098,U1084,2026-06-15,PRMH.CA,Buy,Completed,2.741,200
O5099,U1085,2026-06-01,PRMH.CA,Buy,Active,2.657,100
O5100,U1085,2026-05-27,PRMH.CA,Buy,Completed,2.782,200
O5101,U1085,2026-06-30,PRMH.CA,Buy,Completed,2.733,10
O5102,U1085,2026-05-26,FWRY.CA,Buy,Completed,19.57,100
O5103,U1086,2026-07-15,FWRY.CA,Buy,Completed,18.854,40
O5104,U1087,2026-07-14,PRMH.CA,Buy,Completed,2.721,30
O5105,U1087,2026-07-15,AMOC.CA,Buy,Completed,8.123,100
