transaction_id,user_id,transaction_date,stock_symbol,transaction_type,price,quantity
ST9000,U1001,2026-06-16,ESAC.CA,Buy,0.15,500
ST9001,U1001,2026-06-08,FWRY.CA,Buy,19.543,10
ST9002,U1001,2026-06-10,ESAC.CA,Buy,0.154,10
ST9003,U1001,2026-05-17,ESAC.CA,Sell,0.154,20
ST9004,U1009,2026-06-24,FWRY.CA,Buy,18.703,40
ST9005,U1009,2026-06-23,ESAC.CA,Buy,0.152,200
ST9006,U1019,2026-06-15,AMOC.CA,Buy,8.049,100
ST9007,U1019,2026-06-22,FWRY.CA,Buy,19.825,200
ST9008,U1019,2026-06-16,PHDC.CA,Buy,14.332,100
ST9009,U1019,2026-06-22,FWRY.CA,Buy,19.531,200
ST9010,U1019,2026-06-04,ESAC.CA,Buy,0.149,10
ST9011,U1019,2026-06-14,ESAC.CA,Buy,0.147,100
ST9012,U1023,2026-07-12,FWRY.CA,Buy,19.129,10
ST9013,U1033,2026-06-25,AMOC.CA,Buy,7.82,40
ST9014,U1035,2026-07-15,AMOC.CA,Buy,8.011,20
ST9015,U1035,2026-07-01,ESAC.CA,Buy,0.155,40
ST9016,U1035,2026-06-11,ARAB.CA,Buy,0.242,20
ST9017,U1035,2026-07-12,FWRY.CA,Buy,19.606,500
ST9018,U1040,2026-06-07,PHDC.CA,Buy,14.901,100
ST9019,U1040,2026-05-28,AMOC.CA,Buy,7.862,20
ST9020,U1041,2026-07-12,PRMH.CA,Buy,2.788,50
ST9021,U1041,2026-07-15,ESAC.CA,Buy,0.15,10
ST9022,U1041,2026-07-12,PRMH.CA,Buy,2.748,80
ST9023,U1041,2026-07-14,ESAC.CA,Buy,0.146,1000
ST9024,U1041,2026-07-12,ARAB.CA,Buy,0.24,50
ST9025,U1043,2026-06-07,FWRY.CA,Buy,19.68,500
ST9026,U1045,2026-06-03,AMOC.CA,Buy,8.171,500
ST9027,U1045,2026-06-07,FWRY.CA,Buy,19.12,40
ST9028,U1046,2026-07-01,ARAB.CA,Buy,0.251,500
ST9029,U1046,2026-06-07,PHDC.CA,Buy,14.999,30
ST9030,U1046,2026-05-18,ARAB.CA,Sell,0.248,120
ST9031,U1046,2026-06-25,AMOC.CA,Buy,8.065,600
ST9032,U1048,2026-07-15,ARAB.CA,Buy,0.239,600
ST9033,U1048,2026-07-15,ARAB.CA,Buy,0.24,10
ST9034,U1052,2026-06-28,PRMH.CA,Buy,2.831,100
ST9035,U1052,2026-07-13,PHDC.CA,Buy,15.023,10
ST9036,U1052,2026-06-03,ARAB.CA,Buy,0.238,20
ST9037,U1053,2026-05-24,ARAB.CA,Buy,0.254,500
ST9038,U1055,2026-07-12,ARAB.CA,Buy,0.25,20
ST9039,U1055,2026-07-09,AMOC.CA,Buy,7.971,50
ST9040,U1055,2026-07-09,ARAB.CA,Sell,0.24,20
ST9041,U1055,2026-07-09,ESAC.CA,Buy,0.155,100
ST9042,U1055,2026-07-14,PHDC.CA,Buy,14.579,40
ST9043,U1059,2026-07-13,AMOC.CA,Buy,8.244,40
ST9044,U1064,2026-07-06,PHDC.CA,Buy,14.432,50
ST9045,U1066,2026-07-02,AMOC.CA,Buy,8.039,20
ST9046,U1066,2026-07-08,PHDC.CA,Buy,14.938,100
ST9047,U1066,2026-06-24,FWRY.CA,Buy,18.836,200
ST9048,U1066,2026-07-12,PRMH.CA,Buy,2.774,200
ST9049,U1068,2026-07-12,ESAC.CA,Buy,0.154,20
ST9050,U1068,2026-05-26,PHDC.CA,Buy,14.588,50
ST9051,U1071,2026-07-15,ARAB.CA,Buy,0.25,100
ST9052,U1072,2026-06-08,AMOC.CA,Buy,8.118,600
ST9053,U1072,2026-07-05,PRMH.CA,Buy,2.78,10
