stock_symbol,company_name,asset_type
ESAC.CA,Egypt South Africa,Stocks
ESRS.CA,Ezz Steel,Stocks
AMES.CA,Alex Medical,Stocks
CPCI.CA,Cairo Pharma,Stocks
TYCN.CA,Tycoon Investments Holding,Stocks
AMOC.CA,AMOC,Stocks
PHDC.CA,Palm Hills,Stocks
SKPC.CA,Sedi Kerer,Stocks
FWRY.CA,Fawry for Banks Tec,Stocks
ADIB.CA,Abu Dhabi Bank,Stocks
ABUK.CA,AboKir Fertilize,Stocks
AALR.CA,General Reclame,Stocks
ACAMD.CA,ACAMD,Stocks
ACAP.CA,A Capital Holding,Stocks
ACGC.CA,Arab Ginning,Stocks
ADCI.CA,Arab Drug,Stocks
ARAB.CA,Arab Developers Holding,Stocks
ELEC.CA,Egyptian Electric,Stocks
PRMH.CA,Prime Financial,Stocks
ATQA.CA,Ataqa,Stocks
MCQE.CA,Misr Cement Qena,Stocks
NHOZ.CA,Nozha Hospital,Stocks
COIL.CA,Cairo Oils,Stocks
SPIN.CA,SPINALEX,Stocks
EFID.CA,Edita Food,Stocks
JUFO.CA,Juhayna,Stocks
NRPD.CA,Al Naeem Real Estate,Stocks
GTEX.CA,Goldentex,Stocks
