user_id,client_segment,country,risk_profile,registration_date
U1001,Affluent,Egypt,Moderate,2026-04-29
U1002,Mass,Egypt,Moderate,2026-06-09
U1003,Mass,Egypt,Conservative,2026-04-28
U1004,Mass,Egypt,Moderate,2026-07-01
U1005,Affluent,Egypt,Conservative,2026-06-15
U1006,Mass,Saudi Arabia,Aggressive,2026-04-21
U1007,Affluent,Egypt,Conservative,2026-07-07
U1008,Mass,Egypt,Conservative,2026-05-15
U1009,Mass,UAE,Moderate,2026-06-08
U1010,Mass,Kuwait,Conservative,2026-05-08
U1011,Affluent,Egypt,Aggressive,2026-06-13
U1012,Mass,Egypt,Moderate,2026-07-08
U1013,Mass,Egypt,Conservative,2026-04-13
U1014,Mass,Egypt,Aggressive,2026-04-21
U1015,Mass,Egypt,Moderate,2026-06-27
U1016,Affluent,Egypt,Conservative,2026-07-03
U1017,Mass,Egypt,Moderate,2026-06-21
U1018,Affluent,Egypt,Moderate,2026-07-08
U1019,Affluent,Egypt,Conservative,2026-05-11
U1020,Mass,Egypt,Aggressive,2026-06-12
U1021,Affluent,Egypt,Moderate,2026-05-21
U1022,Affluent,Egypt,Conservative,2026-04-18
U1023,Mass,Egypt,Moderate,2026-06-14
U1024,Mass,Egypt,Moderate,2026-04-18
U1025,Mass,Egypt,Conservative,2026-04-15
U1026,Mass,Egypt,Moderate,2026-06-16
U1027,Mass,Egypt,Aggressive,2026-06-07
U1028,Mass,Egypt,Aggressive,2026-06-27
U1029,Affluent,Egypt,Moderate,2026-05-05
U1030,Affluent,Egypt,Moderate,2026-04-21
U1031,Mass,Qatar,Aggressive,2026-05-04
U1032,High Net Worth,UAE,Moderate,2026-04-14
U1033,Affluent,Egypt,Moderate,2026-06-17
U1034,Mass,Egypt,Conservative,2026-07-09
U1035,High Net Worth,Kuwait,Moderate,2026-06-02
U1036,Mass,Kuwait,Aggressive,2026-05-10
U1037,Mass,Egypt,Moderate,2026-04-11
U1038,Mass,Egypt,Conservative,2026-07-07
U1039,Mass,Egypt,Moderate,2026-06-10
U1040,Mass,Egypt,Moderate,2026-04-28
U1041,High Net Worth,UAE,Moderate,2026-07-01
U1042,Mass,Bahrain,Moderate,2026-05-27
U1043,Affluent,Egypt,Moderate,2026-04-09
U1044,Mass,Egypt,Conservative,2026-04-29
U1045,Mass,Egypt,Conservative,2026-04-09
U1046,High Net Worth,Saudi Arabia,Conservative,2026-05-01
U1047,Mass,Egypt,Moderate,2026-07-02
U1048,High Net Worth,Egypt,Moderate,2026-07-10
U1049,Mass,Egypt,Conservative,2026-06-24
U1050,Mass,Egypt,Moderate,2026-07-03
U1051,Mass,Egypt,Moderate,2026-04-08
U1052,Mass,Egypt,Aggressive,2026-05-02
U1053,Mass,Egypt,Conservative,2026-04-24
U1054,Mass,Egypt,Aggressive,2026-05-27
U1055,Affluent,Saudi Arabia,Conservative,2026-06-23
U1056,High Net Worth,Saudi Arabia,Aggressive,2026-07-06
U1057,Affluent,Egypt,Moderate,2026-04-28
U1058,Affluent,Kuwait,Conservative,2026-04-01
U1059,High Net Worth,Egypt,Aggressive,2026-05-29
U1060,Mass,Egypt,Moderate,2026-07-10
U1061,Mass,Egypt,Conservative,2026-05-08
U1062,Mass,Egypt,Moderate,2026-04-08
U1063,Affluent,Egypt,Moderate,2026-06-04
U1064,High Net Worth,Egypt,Conservative,2026-06-05
U1065,Mass,Egypt,Moderate,2026-06-26
U1066,Affluent,Egypt,Aggressive,2026-06-12
U1067,Mass,Egypt,Moderate,2026-05-24
U1068,Affluent,Egypt,Moderate,2026-05-04
U1069,Mass,Egypt,Conservative,2026-05-21
U1070,Mass,Egypt,Moderate,2026-07-06
U1071,High Net Worth,Egypt,Moderate,2026-06-12
U1072,High Net Worth,Egypt,Conservative,2026-05-04
U1073,Mass,Egypt,Conservative,2026-05-02
U1074,Mass,Egypt,Aggressive,2026-06-30
U1075,Mass,Bahrain,Aggressive,2026-06-07
U1076,Mass,UAE,Moderate,2026-06-24
U1077,Mass,Saudi Arabia,Moderate,2026-04-14
U1078,Affluent,Egypt,Moderate,2026-04-27
U1079,Affluent,Egypt,Moderate,2026-05-04
